States/UTs,YEAR,JAN,FEB,MAR,APR,MAY,JUN
Andaman & Nicobar Islands,1901,49.2,87.1,29.2,2.3,528.8,517.5
Andaman & Nicobar Islands,1902,0,159.8,12.2,0,446.1,537.1
Andaman & Nicobar Islands,1903,12.7,144,0,1,235.1,479.9
Andaman & Nicobar Islands,1904,9.4,14.7,0,202.4,304.5,495.1
Andaman & Nicobar Islands,1905,1.3,0,3.3,26.9,279.5,628.7
Andaman & Nicobar Islands,1906,36.6,0,0,0,556.1,733.3
Andaman & Nicobar Islands,1907,110.7,0,113.3,21.6,616.3,305.2
Andaman & Nicobar Islands,1908,20.9,85.1,0,29,562,693.6
Andaman & Nicobar Islands,1910,26.6,22.7,206.3,89.3,224.5,472.7
Andaman & Nicobar Islands,1911,0,8.4,0,122.5,327.3,649
Andaman & Nicobar Islands,1912,583.7,0.8,0,21.9,140.7,549.8
Andaman & Nicobar Islands,1913,84.8,0.5,1.3,2.5,190.7,530
Andaman & Nicobar Islands,1914,0,0,0,37.7,298.8,383.3
Andaman & Nicobar Islands,1915,45,56.7,33.3,40.9,170.2,334.7
Andaman & Nicobar Islands,1916,0,0,0,0.5,487.4,450.1
Andaman & Nicobar Islands,1917,8,3.6,112,4.5,295.9,301.1
Andaman & Nicobar Islands,1918,77.4,6.9,11.4,10.7,729.3,710.8
Andaman & Nicobar Islands,1919,10.2,18,0,35.5,283.9,542.5
Andaman & Nicobar Islands,1920,122.3,7.4,3.1,13,237.4,546.9
Andaman & Nicobar Islands,1921,13.2,3.1,0,37.5,351.2,282.7
Andaman & Nicobar Islands,1922,245.3,34.3,15.6,323.1,289.7,506.1
Andaman & Nicobar Islands,1923,79.5,0,NA,91.3,293.5,808.4
Andaman & Nicobar Islands,1924,28.7,0,14.8,89.7,191.2,261.2
Andaman & Nicobar Islands,1925,36.6,0,8.6,50.4,282.2,663.8
Andaman & Nicobar Islands,1926,122.1,0,0,0.5,198.4,370
Andaman & Nicobar Islands,1927,3,17.5,17.8,108.6,504.1,433.3
Andaman & Nicobar Islands,1928,50.9,67.6,80.7,129.3,499.5,410.2
Andaman & Nicobar Islands,1929,74.2,118.4,129.2,69.8,316.6,588.8
Andaman & Nicobar Islands,1930,87.4,105.4,131.2,10.9,231.5,533.6
Andaman & Nicobar Islands,1931,25.3,0,2.5,2.5,205.4,393.5
Andaman & Nicobar Islands,1932,2.8,2.5,10.1,58.2,479.7,NA
Andaman & Nicobar Islands,1933,4.5,11.7,8.1,58.4,365.4,544.2
Andaman & Nicobar Islands,1934,7.3,172.9,6.9,131.4,62,708.4
Andaman & Nicobar Islands,1935,6.6,0,0.5,133.6,726.8,374.1
Andaman & Nicobar Islands,1936,16.5,15.3,116.5,NA,194.3,498.3
Andaman & Nicobar Islands,1937,21.6,10.7,0,112,330.5,732.8
Andaman & Nicobar Islands,1938,13.4,57.2,50.5,101.6,368.9,668.6
Andaman & Nicobar Islands,1939,54.1,1.5,16.1,77.3,480.5,541
Andaman & Nicobar Islands,1940,0.5,2.8,59.4,0,320.7,335.4
Andaman & Nicobar Islands,1941,0,12.8,0,77.8,251.9,497
Andaman & Nicobar Islands,1942,39.2,7.4,NA,NA,NA,NA
Andaman & Nicobar Islands,1946,84.4,3.6,21.1,135.2,309.1,535.9
Andaman & Nicobar Islands,1947,25.1,111.1,63.2,127.7,206.3,965.6
Andaman & Nicobar Islands,1949,0,56.4,0,166.5,405.8,658.4
Andaman & Nicobar Islands,1950,0.8,0,0,95.5,264.2,369.9
Andaman & Nicobar Islands,1951,82.7,7.2,0,45.4,259,619.9
Andaman & Nicobar Islands,1952,0,0.8,69.7,39.4,452.9,657.7
Andaman & Nicobar Islands,1953,56,65.3,20.1,159.4,241.1,549.9
Andaman & Nicobar Islands,1954,83.8,2.1,34.3,58,394.7,539.4
Andaman & Nicobar Islands,1955,57.3,28.2,9.9,68.8,663.6,651.1
Andaman & Nicobar Islands,1956,49.2,77.2,33.8,130.3,491.8,343.1
Andaman & Nicobar Islands,1957,28,19.3,4.6,19,142.4,741.9
Andaman & Nicobar Islands,1958,22.9,14.3,30.4,24.6,355.1,530.7
Andaman & Nicobar Islands,1959,10.1,1.8,31.3,86.7,238.1,455.7
Andaman & Nicobar Islands,1960,104.2,72.4,12.1,53.5,535.4,541.5
Andaman & Nicobar Islands,1961,82.1,99.4,33.2,88.1,973.1,383.3
Andaman & Nicobar Islands,1962,152.4,14.9,17.3,46.4,310.4,367.7
Andaman & Nicobar Islands,1963,79.9,26.8,7.4,69.5,259.9,434.7
Andaman & Nicobar Islands,1964,65.5,21.9,3.1,18.1,530.6,465.3
Andaman & Nicobar Islands,1965,11.8,30.4,25.3,51,292.3,408.8
Andaman & Nicobar Islands,1966,79.8,4.2,12,38.7,376.9,148.8
Andaman & Nicobar Islands,1967,164.6,21.6,30,63.4,516.4,340.8
Andaman & Nicobar Islands,1968,22.1,1.3,4.2,81.5,297.6,545.2
Andaman & Nicobar Islands,1969,106.3,64.7,14.6,20.8,317.3,422.8
Andaman & Nicobar Islands,1970,72.2,34,7.8,58.2,422.7,407.3
Andaman & Nicobar Islands,1971,41.5,32.8,37.7,35.3,398,394.6
Andaman & Nicobar Islands,1972,13.7,1.7,7.5,178.3,420.2,470
Andaman & Nicobar Islands,1973,18.1,20.3,30.5,29.6,418.6,488.6
Andaman & Nicobar Islands,1974,22.2,43.9,17.2,301.4,353.3,343.8
Andaman & Nicobar Islands,1975,276.9,27.5,8,24.2,362.9,706.3
Andaman & Nicobar Islands,1976,20.9,9.7,0.6,161.6,551.4,441.4
Andaman & Nicobar Islands,1977,79.7,43.2,6.1,6.9,275.3,339.3
Andaman & Nicobar Islands,1978,109.6,29.3,18.9,63.4,343.6,462.2
Andaman & Nicobar Islands,1979,35.5,9.4,3.9,64.8,146.3,282.8
Andaman & Nicobar Islands,1980,5.5,0.8,9.2,38.8,728.4,604.2
Andaman & Nicobar Islands,1981,11.1,27.8,1.7,94.1,270.8,600.6
Andaman & Nicobar Islands,1982,8.8,2.8,6.6,97.5,229.2,448.7
Andaman & Nicobar Islands,1983,22.1,0,3.1,9.1,240.8,424.3
