States/UTs,YEAR,JUL,AUG,SEP,OCT,NOV,DEC
Andaman & Nicobar Islands,1901,365.1,481.1,332.6,388.5,558.2,33.6
Andaman & Nicobar Islands,1902,228.9,753.7,666.2,197.2,359,160.5
Andaman & Nicobar Islands,1903,728.4,326.7,339,181.2,284.4,225
Andaman & Nicobar Islands,1904,502,160.1,820.4,222.2,308.7,40.1
Andaman & Nicobar Islands,1905,368.7,330.5,297,260.7,25.4,344.7
Andaman & Nicobar Islands,1906,247.7,320.5,164.3,267.8,128.9,79.2
Andaman & Nicobar Islands,1907,443.9,377.6,200.4,264.4,648.9,245.6
Andaman & Nicobar Islands,1908,481.4,699.9,428.8,170.7,208.1,196.9
Andaman & Nicobar Islands,1910,264.3,337.4,626.6,208.2,267.3,153.5
Andaman & Nicobar Islands,1911,253,187.1,464.5,333.8,94.5,247.1
Andaman & Nicobar Islands,1912,468.9,370.3,386.2,318.7,117.2,2.3
Andaman & Nicobar Islands,1913,280.8,205.8,580.1,288.8,133,67.5
Andaman & Nicobar Islands,1914,792.8,520.5,310.8,139.8,184.4,289.7
Andaman & Nicobar Islands,1915,269,317.2,429.8,468.1,258.4,318
Andaman & Nicobar Islands,1916,317.3,425,561.2,369.7,192.6,133.7
Andaman & Nicobar Islands,1917,394.8,437.4,471.8,238.1,108.3,236.9
Andaman & Nicobar Islands,1918,200.9,455.4,303.3,227,366.9,175
Andaman & Nicobar Islands,1919,246.5,259.8,170.7,186.2,340.4,258.4
Andaman & Nicobar Islands,1920,294.4,467.4,505.4,397.5,262.9,85.5
Andaman & Nicobar Islands,1921,487.1,330,581.2,360.7,118.2,41.5
Andaman & Nicobar Islands,1922,425.8,307.4,511.7,162,541,192.2
Andaman & Nicobar Islands,1923,636.9,182.2,560.5,131.9,197.4,70.6
Andaman & Nicobar Islands,1924,493.3,290.9,251.2,331.1,378.6,NA
Andaman & Nicobar Islands,1925,241.8,278.2,201.9,249.5,271.5,196
Andaman & Nicobar Islands,1926,195.3,523.7,719.3,443.8,148.4,560.7
Andaman & Nicobar Islands,1927,195.2,370.1,126.2,327.5,274.1,65.5
Andaman & Nicobar Islands,1928,406.3,391.5,404.8,444.5,99.5,13.5
Andaman & Nicobar Islands,1929,134,644.7,172.9,413,251.5,13.5
Andaman & Nicobar Islands,1930,317.9,446.7,677.2,82.3,249.4,201.6
Andaman & Nicobar Islands,1931,289.3,571,294.4,368.3,22.8,182.7
Andaman & Nicobar Islands,1932,NA,NA,NA,NA,NA,NA
Andaman & Nicobar Islands,1933,376.6,294.1,759,239.8,268.8,56.9
Andaman & Nicobar Islands,1934,323.5,924.9,761.1,338.1,240.2,46.1
Andaman & Nicobar Islands,1935,368.7,411.6,578.9,182.4,275.4,95.4
